No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,Comments
,Navan (IRE),2025-11-17,1:35,Bar One Racing For Auction Novice Hurdle,,16f,Soft To Heavy,Turf,7,You Make Me Smile (IRE),5,151,,Donagh Meyler,P A Fahy,148,2.5,Always behind(op 80/1)
,Navan (IRE),2025-11-17,1:35,Bar One Racing For Auction Novice Hurdle,,16f,Soft To Heavy,Turf,3,Ma Jacks Hill (IRE),6,6,,Jack Kennedy,Gordon Elliott,155,10,Prominent - weakened quickly before 2 out(op 6/1)
,Navan (IRE),2025-11-17,1:35,Bar One Racing For Auction Novice Hurdle,,16f,Soft To Heavy,Turf,5,Eye Of A Tiger (IRE),7,126,,J J Slevin,John Patrick Ryan,148,8.5,Always behind(op 80/1 tchd 150/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,4,Classical Creek (GB),1,1.44,,Jack Kennedy,Gordon Elliott,166,0,Made all - shaken up and went clear approaching last - pushed out run-in - comfortably(tchd 1/2)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,8,Fillyoureye (IRE),2,5,,Paul Townend,W P Mullins,166,8,Raced in second - outpaced approaching last - weakened final 110yds(op 5/1 tchd 4/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,20,Fixios (IRE),3,101,,Donagh Meyler,Noel Meade,165,0.5,Midfield on outer - headway and hit 2 out - not fluent last - stayed on and went third run-in(op 66/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,6,Coyote Spirit (IRE),4,11,,Sam Ewing,Gordon Elliott,166,4.25,Prominent - jumped right last - weakened run-in
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,14,The Store Boy (GB),5,7.5,,Darragh O'Keeffe,Henry De Bromhead,166,4,In touch with leaders - weakened gradually after 2 out(op 11/2 tchd 13/2)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,16,Agameoftwohalves (IRE),6,10,,Mark Walsh,Gordon Elliott,165,3.5,In touch with leaders - weakening when hit last(op 8/1 tchd 9/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,12,Pat's Legacy (IRE),7,41,,Keith Donoghue,Ian Patrick Donoghue,166,2.25,In touch with leaders - weakened approaching last(tchd 50/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,21,Surrey Force (FR),8,126,,James Smith,Thomas Gibney,160,15,Midfield - weakened after 2 out(tchd 150/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,7,Dontcavein (IRE),9,81,,E Walsh,Ciaran Murphy,166,2.5,Midfield - mistake 2 out - soon weakened(tchd 100/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,18,Danny The Champ (IRE),10,126,,Alex Harvey,John C McConnell,165,2.5,Never better than midfield(op 100/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,10,Gunnery Sergeant (FR),11,101,,Danny Gilligan,Gordon Elliott,166,0.3,Held up in midfield - slightly hampered last - never dangerous
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,2,Bryson (IRE),12,67,,J J Slevin,S R B Crawford,166,8.5,In rear - never dangerous
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,15,Whatafoolbelieves (IRE),13,101,,Ben Harvey,John C McConnell,166,1,Never better than midfield(op 80/1 tchd 66/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,3,Button Rock (IRE),14,101,,Kevin Sexton,Gordon Elliott,166,2.25,Never better than midfield(tchd 80/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,22,Thirsty Work (GB),15,201,,Phillip Enright,Oliver McKiernan,158,2.5,Always behind(tchd 150/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,13,Sekakarma (IRE),16,251,,Ricky Doyle,W M Roper,166,0.1,Never better than midfield(tchd 300/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,19,Euro Maker (IRE),17,126,,Sean Flanagan,Adrian Murray,165,4.5,Always behind
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,1,Attanagh (IRE),18,151,,Aidan Kelly,Conor O'Dwyer,163,0.75,Held up in midfield - not fluent 7th - weakened before 2 out(tchd 125/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,9,Gethegoodtimesroll (IRE),19,251,,Sean O'Keeffe,Peter Maher,163,3.75,Always behind(tchd 300/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,11,Native Policy (IRE),20,151,,Jordan Gainford,Edward Cawley,166,8,Always behind(op 125/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,17,Anodandawink (IRE),PU,67,,Simon Torrens,Ciaran Murphy,165,-,Held up in midfield - pulled up quickly after 4th(op 50/1)
,Navan (IRE),2025-11-17,11:50,Kilberry Pub & Kitchen Maiden Hurdle,,20f,Soft To Heavy,Turf,5,Come On McCaff (IRE),PU,251,,Patrick M O'Brien,T G McCourt,161,-,In rear - tailed off after 7th - pulled up before 2 out(tchd 300/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,11,Themanintheboots (IRE),1,11,,James Smith,Gordon Elliott,148,0,Disputed lead - led before 4th - shaken up and went clear approaching last - ridden out run-in(op 12/1 tchd 9/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,7,Clonbury Bridge (IRE),2,13,,Danny Gilligan,J P Dempsey,158,7,Disputed lead - prominent before 4th - pressed leader before 2 out - weakened approaching last(op 14/1 tchd 11/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,14,Midleton Rare (IRE),3,6,,Sam Ewing,Ian Patrick Donoghue,148,3,Midfield - not fluent 3 out (usual 4 out) - soon lost ground and dropped to last - pushed along and good headway approaching last - kept on well and went third towards finish(tchd 9/2)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,9,Watching The Clock (IRE),4,4,,Aidan Kelly,Padraig Roche,155,1.25,Midfield - headway before 2 out - outpaced approaching last - rallied and briefly went third final 110yds(op 11/4)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,13,The Little Yank (IRE),5,26,,Michael Kenneally,John Patrick Ryan,143,0.2,In rear - headway after 3 out (usual 4 out) - went third approaching last - weakened run-in
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,12,Mon Sheriffe (GB),6,6,,Tiernan Power Roche,P J Rothwell,147,3.75,Took keen hold - prominent - not fluent and bumped rival 1st - weakened approaching last(op 6/1 tchd 13/2)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,2,Killinure Lass (IRE),7,29,,Jordan Gainford,J P Dempsey,165,2.5,Towards rear - headway on turn before 2 out - soon in touch with leaders on outer - weakened approaching last(op 33/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,4,Club Manager (GB),8,8,,Liam McKenna,Ross O'Sullivan,159,1.25,Prominent - bumped 1st - soon lost ground - hung left home straight - weakened approaching last(op 6/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,6,Arch Enemy (IRE),9,81,,E Walsh,Patrick Magee,159,1,In touch with leaders - weakened approaching last(op 66/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,10,Bossing It (IRE),10,11,,Sean Flanagan,David M O'Brien,156,2.75,Towards rear - some headway before 2 out - weakened approaching last(op 9/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,8,Must Meet Cecil (IRE),11,17,,Carl Millar,Cian Collins,153,5.5,Took keen hold - prominent - lost ground after 3rd - weakened approaching last(op 22/1 tchd 14/1 and 25/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,5,Its Not Over Yet (IRE),12,11,,Phillip Enright,Oliver McKiernan,160,9.5,Never better than midfield(op 11/1)
,Navan (IRE),2025-11-17,12:25,Lisadell Equine Hospital 110 Series Final Handicap Hurdle,,20f,Soft To Heavy,Turf,1,Paul's Dream (IRE),13,15,,Danny Mullins,Anthony Mullins,166,13,Midfield - lost ground before 4th - mistake 3 out (usual 4 out) - mistake 2 out - soon weakened(op 17/2)
,Navan (IRE),2025-11-17,2:10,Railway Bar Lismullen Hurdle,,20f,Soft To Heavy,Turf,3,Colonel Mustard (FR),1,13,,John Shinnick,Mrs Lorna Fowler,157,0,In touch with leaders - not fluent and lost position briefly 6th - went third before 2 out - led approaching last - soon hung left - hit last - ridden out run-in(op 11/1)
,Navan (IRE),2025-11-17,2:10,Railway Bar Lismullen Hurdle,,20f,Soft To Heavy,Turf,1,The Yellow Clay (IRE),2,1.53,,Jack Kennedy,Gordon Elliott,163,2.75,Prominent - challenging 2 out - ridden approaching last - outpaced last - went second and stayed on run-in(tchd 4/7)
,Navan (IRE),2025-11-17,2:10,Railway Bar Lismullen Hurdle,,20f,Soft To Heavy,Turf,5,Jetara (IRE),3,4.33,,Paul Townend,Mrs John Harrington,155,4,Led - headed approaching last - weakened run-in(op 3/1)
,Navan (IRE),2025-11-17,2:10,Railway Bar Lismullen Hurdle,,20f,Soft To Heavy,Turf,2,Maxxum (IRE),4,9,,Danny Gilligan,Gordon Elliott,162,15,Prominent - weakened before 2 out(op 9/1 tchd 15/2)
,Navan (IRE),2025-11-17,2:10,Railway Bar Lismullen Hurdle,,20f,Soft To Heavy,Turf,4,Grandero Bello (FR),5,34,,Ricky Doyle,Eddie & Patrick Harty,157,11,Held up in last - weakened before 2 out(op 50/1 tchd 28/1)
,Navan (IRE),2025-11-17,2:45,Bar One Racing Fortria Chase,,16f,Soft To Heavy,Turf,3,Found A Fifty (IRE),1,3.5,,Jack Kennedy,Gordon Elliott,164,0,Disputed lead - led but pestered before 3rd - headed 6th - led again 3 out - faced challenge 2 out - went clear approaching last - pushed out and went further clear run-in(tchd 11/4)
,Navan (IRE),2025-11-17,2:45,Bar One Racing Fortria Chase,,16f,Soft To Heavy,Turf,7,Dinoblue (FR),2,2.38,,Mark Walsh,W P Mullins,157,5,Disputed lead - pressed leader before 3rd - bad mistake and lost ground 4th - soon dropped to last - headway before 3 out - going okay and challenging when not fluent 2 out - no extra approaching last(op 5/4 tchd 6/4)
,Navan (IRE),2025-11-17,2:45,Bar One Racing Fortria Chase,,16f,Soft To Heavy,Turf,4,Hercule Du Seuil (FR),3,15,,Paul Townend,W P Mullins,161,2.75,Held up in rear - in touch with leaders before 5th - went third after 2 out - kept on(op 7/1)
,Navan (IRE),2025-11-17,2:45,Bar One Racing Fortria Chase,,16f,Soft To Heavy,Turf,5,Touch Me Not (IRE),4,6,,Danny Gilligan,Gordon Elliott,161,8.5,In touch with leaders - headway before 5th - led 6th - headed 3 out - awkward jump 2 out - soon weakened(op 12/1)
,Navan (IRE),2025-11-17,2:45,Bar One Racing Fortria Chase,,16f,Soft To Heavy,Turf,6,Captain Guinness (IRE),PU,6,,Darragh O'Keeffe,Henry De Bromhead,158,-,Disputed lead - lost position before 3rd - soon pressed leader - lost ground before 3 out - weakened quickly before 2 out - pulled up approaching last(tchd 9/2 and tchd 11/2)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,7,Kopek Des Bordes (FR),1,1.22,,Paul Townend,W P Mullins,166,0,Took keen hold - prominent - pulled way into lead after 4th - soon clear - reduced lead before 8th(tchd 1/4)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,8,Lovely Hurling (IRE),2,5.5,,Mark Walsh,C A Murphy,166,13,Midfield - not fluent 6th - headway before 3 out(tchd 4/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,11,Shraheen (IRE),3,51,,Darragh O'Keeffe,Philip Fenton,166,6,Took keen hold - midfield - headway when not fluent 7th
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,12,Its Bilbo (FR),4,11,,Mike O'Connor,Henry De Bromhead,158,0.1,In touch with leaders - not fluent 4th - prominent before 7th(tchd 11/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,1,Anotherway (FR),5,101,,J J Slevin,Thomas Gibney,166,9,Led - headed after 4th - soon prominent(op 50/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,4,Harvard Guy (GB),6,26,,Simon Torrens,Eddie & Patrick Harty,166,1.5,Towards rear - headway after 4 out(op 33/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,5,Jigoro (FR),7,23,,Danny Gilligan,Gordon Elliott,166,0.75,Midfield(op 20/1 tchd 25/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,2,Ballybow (IRE),8,12,,Jack Kennedy,Gordon Elliott,166,2.25,In touch with leaders - not fluent 1st - lost ground on turn before 3 out(op 14/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,3,Born Braver (IRE),9,81,,Keith Donoghue,Gavin Cromwell,166,17,Midfield - towards rear after 4th - not fluent 6th(tchd 66/1 and tchd 100/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,9,Moudan (IRE),F,81,,E Walsh,Ciaran Murphy,166,-,Took keen hold - in rear - headway after 7th(op 66/1)
,Navan (IRE),2025-11-17,3:20,Pat Sheils Memorial Irish EBF Beginners Chase,,17f,Soft To Heavy,Turf,10,Mywayofthinkin (IRE),PU,51,,Kieren Buckley,Gavin Cromwell,166,-,Didn't always jump with fluency and always behind(tchd 40/1)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,4,Nebras (GB),1,5.5,1,Luke Catton,John & Thady Gosden,127,0,(tchd 4/1)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,5,Bragbor (GB),2,2.88,4,Ethan Tindall,Richard Fahey,120,0,(op 2/1 and tchd 9/4)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,1,Teumessias Fox (IRE),3,5.5,5,William Carver,Andrew Balding,138,0,
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,3,Savvy Victory (IRE),4,3.5,6,Jack Callan,S Woods,131,0,(op 9/4)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,2,Frances Ethel (SAF),5,21,7,Callum Hutchinson,William Haggas,137,2.5,(op 33/1 and tchd 40/1)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,7,Dream Harder (IRE),6,12,3,Ryan Kavanagh,Ian Williams,114,0.2,(tchd 9/1)
,Newcastle (AW),2025-11-17,3:35,Midnite A Next Generation Betting App Handicap (Rider Restricted Race) (GBBplus Race),Class 2,10f,Standard,AW,6,Return To Dubai (IRE),7,34,2,Jonny Peate,Roger Fell,123,5,(op 40/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,6,Clear Storm (GB),1,5.5,,Mr A P Ryan,Neil Mulholland,154,0,Towards rear - not fluent last (usual 3 out) - headway and led omitted last - ridden and went clear inside final 110yds - readily(op 5/1 and tchd 11/2)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,5,Hidor De Bersy (FR),2,19,,Mrs Vicki Sollitt,Mel Rowley,154,11,Led - headed before 1st - led again before 2 out (usual 4 out) - headed and no extra omitted last(op 16/1 tchd 14/1 and tchd 20/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,2,It's A Breeze (IRE),3,5,,Mr P W Mullins,Paul Nicholls,166,15,Took keen hold - prominent - led before 1st - headed before 2 out (usual 4 out) - pressed leader last (usual 3 out) - weakened omitted 2 out(tchd 3/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,9,Highway Hero (GB),4,51,,Miss Elizabeth Feakes,Gary & Josh Moore,137,14,In touch with leaders - soon raced in last - lost touch before 2nd - weakened before 2 out (usual 4 out) - tailed off(op 40/1 tchd 33/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,7,Dreamweaver (IRE),PU,8,,Mr James King,Dr Richard Newland & Jamie Insole,148,-,Prominent - pulled up soon after start(op 15/2 and tchd 17/2)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,10,Hilltown (IRE),PU,11,,Miss Daisy Warden,Seamus Mullins,136,-,Took keen hold - in rear - pulled up soon after start(op 12/1 tchd 9/1 and tchd 14/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,3,Tropical Speed (IRE),PU,13,,Mr Tommie M O'Brien,Andy Irvine,165,-,Took keen hold - towards rear - pulled up soon after start(op 9/1)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,11,Sain Et Sauf (GB),PU,4.5,,Mr Harry O'Dwyer,Fergal O'Brien,135,-,In rear - pulled up soon after start(op 5/1 tchd 10/3 and tchd 11/2)
,Plumpton,2025-11-17,1:20,BPL Amateur Jockeys' Handicap Hurdle,Class 5,20.5f,Good,Turf,1,Washington Singer (GB),UR,5.5,,Miss Gina Andrews,Chris Gordon,168,-,Prominent - not fluent and unseated 2nd(op 7/2 tchd 10/3)
,Plumpton,2025-11-17,1:50,Arc Supports Charlotte Savill Memorial Foundation Handicap Chase (GBB Race),Class 4,17f,Good,Turf,5,Siam Park (IRE),1,2.62,,Jack Tudor,Joe Tizzard,156,0,Made all - ridden omitted 2 out - went clear omitted last - readily(op 15/8 tchd 6/4)
,Plumpton,2025-11-17,1:50,Arc Supports Charlotte Savill Memorial Foundation Handicap Chase (GBB Race),Class 4,17f,Good,Turf,1,No Risk With Lou (FR),2,4,,Kielan Woods,Alex Hales,167,4.25,In touch with leaders - headway before last (usual 3 out) - went second omitted 2 out - no extra omitted last(op 7/2)
,Plumpton,2025-11-17,1:50,Arc Supports Charlotte Savill Memorial Foundation Handicap Chase (GBB Race),Class 4,17f,Good,Turf,4,Synchronist (IRE),3,6.5,,Tom Cannon,Sarah Humphrey,157,9,In rear - headway and went second before 3 out (usual 5 out) - weakened omitted 2 out(op 6/1 and tchd 13/2)
,Plumpton,2025-11-17,1:50,Arc Supports Charlotte Savill Memorial Foundation Handicap Chase (GBB Race),Class 4,17f,Good,Turf,2,Bond Broker (IRE),4,4.5,,Harry Cobden,Paul Nicholls,165,11,Took keen hold - raced in second - dropped to rear before last (usual 3 out) - soon weakened(tchd 3/1 and tchd 4/1)
,Plumpton,2025-11-17,1:50,Arc Supports Charlotte Savill Memorial Foundation Handicap Chase (GBB Race),Class 4,17f,Good,Turf,3,Alto Alto (FR),5,9,,Freddie Gordon,Chris Gordon,158,19,Raced in third - weakened after last (usual 3 out)(op 11/2)
,Plumpton,2025-11-17,12:50,Gredley Charitable Trust Novices' Hurdle (GBB Race),Class 4,20.5f,Good,Turf,1,El Galactico (IRE),1,9.5,,Richie McLernon,Neil Mulholland,161,0,Raced in third - headway before 3 out - ridden before 2 out - led after 2 out - kept on(op 9/1 and tchd 10/1)
,Plumpton,2025-11-17,12:50,Gredley Charitable Trust Novices' Hurdle (GBB Race),Class 4,20.5f,Good,Turf,4,Manigod (FR),2,19,,James Bowen,Warren Greatrex,153,3.5,Raced in last - not fluent 8th - not fluent 4 out - headway before 3 out - went second before last - no extra inside final 110yds(op 12/1)
,Plumpton,2025-11-17,12:50,Gredley Charitable Trust Novices' Hurdle (GBB Race),Class 4,20.5f,Good,Turf,2,Fountains Blenhein (GB),3,1.36,,Rex Dingle,Anthony Honeyball,161,1.25,Led - not fluent 2 out - hung right and headed after 2 out - soon no extra(tchd 30/100 and tchd 2/5)
,Plumpton,2025-11-17,12:50,Gredley Charitable Trust Novices' Hurdle (GBB Race),Class 4,20.5f,Good,Turf,3,Calvino (IRE),PU,5,,Harry Cobden,Paul Nicholls,154,-,Raced in second - not fluent 6th - dropped to last 3 out - weakened and pulled up before 2 out(op 9/2 and tchd 5/1)
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,7,Goodwin (IRE),1,9,,Freddie Gordon,Chris Gordon,148,0,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,3,Stream Of Stars (GB),2,17,,James Turner,Nigel & Willy Twiston-Davies,155,3,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,4,Listentoyourheart (IRE),3,5.5,,Tristan Durrell,Dan Skelton,155,5.5,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,10,Gold For Alec (FR),4,4.6,,Callum Pritchard,Tom Symonds,145,21,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,6,Goblet Of Fire (GB),5,4.5,,James Bowen,Nicky Henderson,153,9,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,5,Sign Again (IRE),6,13,,Lilly Pinchin,Charlie Longsdon,155,25,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,8,Yellow Star (FR),7,13,,Freddie Mitchell,Gary & Josh Moore,146,49,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,9,Geezer Rockstar (IRE),8,11,,Bryan Carver,Harry Fry,150,38,
,Plumpton,2025-11-17,2:20,Old Gold Racing Handicap Hurdle (GBB Race),Class 2,20.5f,Good,Turf,2,Nardaran (FR),PU,7.5,,Harry Cobden,Paul Nicholls,163,-,
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,1,Final Straw (IRE),1,1.91,,Mr Daniel Williams,Nicky Henderson,159,0,(tchd 4/5 and tchd Evens)
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,4,Drumheller (IRE),2,10,,James Davies,Nick Gifford,159,7.5,(op 10/1)
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,2,Minella Kaiser (IRE),3,2.88,,Freddie Gordon,Chris Gordon,157,10,(op 2/1 and tchd 9/4)
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,3,I Look How I Look (SPA),4,9,,Tristan Durrell,Dan Skelton,156,7,(op 10/1 tchd 15/2)
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,7,He'llstopatthetop (GB),5,29,,Freddie Mitchell,Richenda Ford,140,0.2,(op 16/1)
,Plumpton,2025-11-17,2:50,BetGoodwin Novices' Limited Handicap Hurdle,Class 5,25f,Good,Turf,6,Annie Nail (IRE),6,51,,James Turner,Tracey Leeson,140,16,(op 28/1)
,Plumpton,2025-11-17,3:19,Arc Supports Charlotte Savill Memorial Raceday Handicap Chase (GBB Race),Class 4,25.5f,Good,Turf,2,Ballynaheer (IRE),1,3,,Charlie Maggs,David Dennis,157,0,(op 9/4 and tchd 11/4)
,Plumpton,2025-11-17,3:19,Arc Supports Charlotte Savill Memorial Raceday Handicap Chase (GBB Race),Class 4,25.5f,Good,Turf,4,Unspeakable (IRE),2,4.5,,Jack Tudor,Christian Williams,146,9.5,(op 4/1 and tchd 9/2)
,Plumpton,2025-11-17,3:19,Arc Supports Charlotte Savill Memorial Raceday Handicap Chase (GBB Race),Class 4,25.5f,Good,Turf,1,Ballyfinn (IRE),3,3,,Rex Dingle,Anthony Honeyball,168,2,(op 13/8)
,Plumpton,2025-11-17,3:19,Arc Supports Charlotte Savill Memorial Raceday Handicap Chase (GBB Race),Class 4,25.5f,Good,Turf,3,One Last Glance (GB),UR,4.5,,Freddie Mitchell,Tom Gretton,150,-,(tchd 11/4)
,,,,,,,,,,,,,,,,,,
